Index,Position,ReboundPct
4,Center,14.2
6,Center,16.0
7,Center,17.4
12,Center,15.0
21,Center,14.4
24,Center,17.8
39,Center,15.6
51,Center,17.2
53,Center,17.1
58,Center,21.7
59,Center,21.7
60,Center,0.0
86,Center,18.5
94,Center,13.8
95,Center,22.6
110,Center,18.2
111,Center,17.9
112,Center,19.5
122,Center,17.3
123,Center,14.4
125,Center,21.1
137,Center,25.3
148,Center,17.0
161,Center,16.1
171,Center,11.4
177,Center,10.4
178,Center,17.4
189,Center,21.8
195,Center,18.7
207,Center,11.8
208,Center,12.8
213,Center,11.2
221,Center,15.3
227,Center,15.3
229,Center,20.4
231,Center,12.4
232,Center,12.5
233,Center,10.0
237,Center,12.8
239,Center,17.4
245,Center,14.4
247,Center,11.8
249,Center,23.5
270,Center,16.8
284,Center,19.5
286,Center,14.8
293,Center,24.2
295,Center,9.5
296,Center,17.4
304,Center,16.4
311,Center,15.2
317,Center,17.8
328,Center,20.0
329,Center,15.2
330,Center,9.6
331,Center,12.3
338,Center,15.2
339,Center,11.8
340,Center,24.2
358,Center,18.1
364,Center,19.8
373,Center,17.0
381,Center,13.1
386,Center,10.7
397,Center,21.3
398,Center,15.9
399,Center,14.1
400,Center,18.0
401,Center,12.6
404,Center,18.6
405,Center,17.8
406,Center,19.7
411,Center,19.2
412,Center,16.5
413,Center,11.7
415,Center,13.0
416,Center,11.7
417,Center,10.5
419,Center,17.7
420,Center,14.0
434,Center,16.2
435,Center,15.6
436,Center,15.8
437,Center,15.1
438,Center,11.1
439,Center,10.0
440,Center,13.3
441,Center,14.9
445,Center,13.3
456,Center,17.8
476,Center,17.0
495,Center,13.6
497,Center,16.2
498,Center,15.9
504,Center,15.8
505,Center,14.0
508,Center,21.6
509,Center,13.7
510,Center,23.0
522,Center,16.9
524,Center,6.6
529,Center,19.4
534,Center,13.0
538,Center,20.8
541,Center,16.1
545,Center,19.6
557,Center,13.0
561,Center,24.0
564,Center,22.4
581,Center,16.2
591,Center,13.2
592,Center,17.6
594,Center,14.3
